cle,texte_fr,fr_singulier,emplacement,zone,utilisation,type,fragment_ou_phrase,variables,pluriel,elision,visible,aria,impression,export,ht,ht_singulier,en,en_singulier,es,es_singulier,action_requise
"Carte de situation : contour national du CNIGS simplifié, centres officiels des communes. Cliquez un point pour ouvrir sa fiche.","Carte de situation : contour national du CNIGS simplifié, centres officiels des communes. Cliquez un point pour ouvrir sa fiche.",,blocCarte() L498,carte,visible+aria,phrase,phrase,,,,oui,oui,,,"Kat sitiyasyon : kontou peyi a soti nan CNIGS, senplifye, ak sant ofisyèl komin yo. Klike sou yon pwen pou louvri fich li.","Kat sitiyasyon : kontou peyi a soti nan CNIGS, senplifye, ak sant ofisyèl komin yo. Klike sou yon pwen pou louvri fich li.","Locator map: simplified CNIGS national outline, official commune centres. Click a point to open its profile.","Locator map: simplified CNIGS national outline, official commune centres. Click a point to open its profile.","Mapa de situación: contorno nacional del CNIGS simplificado, centros oficiales de las comunas. Haga clic en un punto para abrir su ficha.","Mapa de situación: contorno nacional del CNIGS simplificado, centros oficiales de las comunas. Haga clic en un punto para abrir su ficha.",relecture kreyòl
Ce que l'on sait publiquement de {n} : {phrase} Tout ceci est libre et téléchargeable.,Ce que l'on sait publiquement de {n} : {phrase} Tout ceci est libre et téléchargeable.,,jour() L197,jour,visible,phrase,phrase,n phrase,,,oui,,,,"Sa tout moun ka konnen sou {n} : {phrase} Tout bagay sa yo gratis, ou ka telechaje yo.","Sa tout moun ka konnen sou {n} : {phrase} Tout bagay sa yo gratis, ou ka telechaje yo.",What is publicly known about {n}: {phrase} All of it is free to download.,What is publicly known about {n}: {phrase} All of it is free to download.,Lo que se sabe públicamente de {n}: {phrase} Todo ello es libre y descargable.,Lo que se sabe públicamente de {n}: {phrase} Todo ello es libre y descargable.,relecture kreyòl
Ce qui le débloquerait,Ce qui le débloquerait,,blocLacunes() L575,fiche,visible+impression,phrase,phrase,,,,oui,,oui,,Sa ki ta debloke l,Sa ki ta debloke l,What would unlock it,What would unlock it,Qué lo desbloquearía,Qué lo desbloquearía,relecture kreyòl
Ce qui reste à documenter,Ce qui reste à documenter,,blocLacunes() L569,fiche,visible+impression,phrase,phrase,,,,oui,,oui,,Sa ki poko dokimante,Sa ki poko dokimante,What remains undocumented,What remains undocumented,Lo que falta documentar,Lo que falta documentar,relecture kreyòl
Ce qui reste à documenter ({n}),Ce qui reste à documenter ({n}),,blocResume() L394,fiche,visible+impression,phrase,phrase,n,,,oui,,oui,,Sa ki poko dokimante ({n}),Sa ki poko dokimante ({n}),Still undocumented ({n}),Still undocumented ({n}),Lo que falta documentar ({n}),Lo que falta documentar ({n}),relecture kreyòl
Centre (WGS84),Centre (WGS84),,blocTechnique() L637,fiche,visible,libelle,phrase,,,,oui,,,,Sant (WGS84),Sant (WGS84),Centre (WGS84),Centre (WGS84),Centro (WGS84),Centro (WGS84),relecture kreyòl
Cet indicateur est déjà un taux ou une densité : le normaliser n'aurait pas de sens. Les valeurs brutes sont affichées.,Cet indicateur est déjà un taux ou une densité : le normaliser n'aurait pas de sens. Les valeurs brutes sont affichées.,,classement() L1040,classement,visible+impression,phrase,phrase,,,,oui,,oui,,Endikatè sa a deja yon to oswa yon dansite : nòmalize l pa t ap gen sans. Se valè brit yo k ap parèt.,Endikatè sa a deja yon to oswa yon dansite : nòmalize l pa t ap gen sans. Se valè brit yo k ap parèt.,This indicator is already a rate or a density: normalising it would make no sense. Raw values are shown.,This indicator is already a rate or a density: normalising it would make no sense. Raw values are shown.,Este indicador ya es una tasa o una densidad: normalizarlo no tendría sentido. Se muestran los valores brutos.,Este indicador ya es una tasa o una densidad: normalizarlo no tendría sentido. Se muestran los valores brutos.,relecture kreyòl
"Chaque chiffre porte son année de référence, sa source et son statut. Dépliez une carte pour la définition et la méthode.","Chaque chiffre porte son année de référence, sa source et son statut. Dépliez une carte pour la définition et la méthode.",,blocIndicateurs() L530,fiche,visible+impression,phrase,phrase,,,,oui,,oui,,"Chak chif pote ane referans li, sous li ak estati li. Louvri yon kat pou w wè definisyon an ak metòd la.","Chak chif pote ane referans li, sous li ak estati li. Louvri yon kat pou w wè definisyon an ak metòd la.","Every figure carries its reference year, its source and its status. Expand a card for the definition and the method.","Every figure carries its reference year, its source and its status. Expand a card for the definition and the method.","Cada cifra lleva su año de referencia, su fuente y su estado. Despliegue una tarjeta para ver la definición y el método.","Cada cifra lleva su año de referencia, su fuente y su estado. Despliegue una tarjeta para ver la definición y el método.",relecture kreyòl
"Chaque valeur affichée pour {n} porte son année de référence, sa source et sa méthode de calcul — de quoi les reprendre dans une méthodologie. {phrase}","Chaque valeur affichée pour {n} porte son année de référence, sa source et sa méthode de calcul — de quoi les reprendre dans une méthodologie. {phrase}",,jour() L186,jour,visible,phrase,phrase,n phrase,,,oui,,,,"Chak valè ki parèt pou {n} pote ane referans li, sous li ak jan yo kalkile l — tout sa w bezwen pou site yo nan yon metodoloji. {phrase}","Chak valè ki parèt pou {n} pote ane referans li, sous li ak jan yo kalkile l — tout sa w bezwen pou site yo nan yon metodoloji. {phrase}","Every value shown for {n} carries its reference year, its source and its calculation method — enough to cite in a methodology section. {phrase}","Every value shown for {n} carries its reference year, its source and its calculation method — enough to cite in a methodology section. {phrase}","Cada valor mostrado para {n} lleva su año de referencia, su fuente y su método de cálculo — lo suficiente para citarlos en una metodología. {phrase}","Cada valor mostrado para {n} lleva su año de referencia, su fuente y su método de cálculo — lo suficiente para citarlos en una metodología. {phrase}",relecture kreyòl
Code officiel (p-code OCHA),Code officiel (p-code OCHA),,blocTechnique() L627,fiche,visible,phrase,phrase,,,,oui,,,,Kòd ofisyèl (p-code OCHA),Kòd ofisyèl (p-code OCHA),Official code (OCHA p-code),Official code (OCHA p-code),Código oficial (p-code OCHA),Código oficial (p-code OCHA),relecture kreyòl
Comment ces chiffres sont établis,Comment ces chiffres sont établis,,jour() L201,jour,visible,phrase,phrase,,,,oui,,,,Kijan chif sa yo fèt,Kijan chif sa yo fèt,How these figures are established,How these figures are established,Cómo se establecen estas cifras,Cómo se establecen estas cifras,relecture kreyòl
Commune,Commune,,jour() L143,niveaux,visible,vocabulaire,phrase,,,,oui,,,,Komin,Komin,Commune,Commune,Comuna,Comuna,relecture kreyòl
Comparaison pleine ({n}),Comparaison pleine ({n}),,pret() L1217,chrome,visible,phrase,phrase,n,,,oui,,,,Konparezon an plen ({n}),Konparezon an plen ({n}),Comparison full ({n}),Comparison full ({n}),Comparación llena ({n}),Comparación llena ({n}),relecture kreyòl
Comparer,Comparer,,blocComparer() L609,fiche,visible,libelle,phrase,,,,oui,,,,Konpare,Konpare,Compare,Compare,Comparar,Comparar,relecture kreyòl
Comparer aux communes voisines,Comparer aux communes voisines,,jour() L167,jour,visible,phrase,phrase,,,,oui,,,,Konpare ak komin vwazen yo,Konpare ak komin vwazen yo,Compare with neighbouring communes,Compare with neighbouring communes,Comparar con las comunas vecinas,Comparar con las comunas vecinas,relecture kreyòl
Comparer les {n} premiers,Comparer les {n} premiers,,classement() L1083,classement,visible+impression,phrase,phrase,n,,,oui,,oui,,Konpare {n} premye yo,Konpare {n} premye yo,Compare the top {n},Compare the top {n},Comparar los {n} primeros,Comparar los {n} primeros,relecture kreyòl
Compléter le registre national — {lien},Compléter le registre national — {lien},,blocLacunes() L581,fiche,visible+impression,phrase,phrase,lien,,,oui,,oui,,Konplete rejis nasyonal la — {lien},Konplete rejis nasyonal la — {lien},Complete the national register — {lien},Complete the national register — {lien},Completar el registro nacional — {lien},Completar el registro nacional — {lien},relecture kreyòl
Copier le lien de cette comparaison,Copier le lien de cette comparaison,,rendreComparaison() L983,comparaison,visible+aria+impression,phrase,phrase,,,,oui,oui,oui,,Kopye lyen konparezon sa a,Kopye lyen konparezon sa a,Copy the link to this comparison,Copy the link to this comparison,Copiar el enlace de esta comparación,Copiar el enlace de esta comparación,relecture kreyòl
Copier le lien de cette fiche,Copier le lien de cette fiche,,blocResume() L392,fiche,visible+impression,phrase,phrase,,,,oui,,oui,,Kopye lyen fich sa a,Kopye lyen fich sa a,Copy the link to this profile,Copy the link to this profile,Copiar el enlace de esta ficha,Copiar el enlace de esta ficha,relecture kreyòl
Copier le lien de cette vue,Copier le lien de cette vue,,classement() L1085,classement,visible+impression,phrase,phrase,,,,oui,,oui,,Kopye lyen paj sa a,Kopye lyen paj sa a,Copy the link to this view,Copy the link to this view,Copiar el enlace de esta vista,Copiar el enlace de esta vista,relecture kreyòl
Couverture,Couverture,,classement() L1049,classement,visible+impression,libelle,phrase,,,,oui,,oui,,Kouvèti,Kouvèti,Coverage,Coverage,Cobertura,Cobertura,relecture kreyòl
Couverture.,Couverture.,,agregat() L789,agregat,visible+impression,libelle,phrase,,,,oui,,oui,,Kouvèti.,Kouvèti.,Coverage.,Coverage.,Cobertura.,Cobertura.,relecture kreyòl
"Deux identifiants coexistent : le p-code est le code officiel OCHA/CNIGS, utilisé par les acteurs humanitaires ; l'identifiant Atmart ne change jamais, même si la source renumérote, ce qui permet de suivre une entité dans le temps.","Deux identifiants coexistent : le p-code est le code officiel OCHA/CNIGS, utilisé par les acteurs humanitaires ; l'identifiant Atmart ne change jamais, même si la source renumérote, ce qui permet de suivre une entité dans le temps.",,blocTechnique() L640,fiche,visible,phrase,phrase,,,,oui,,,,"Gen de idantifyan k ap mache ansanm : p-code la se kòd ofisyèl OCHA/CNIGS la, se li moun imanitè yo sèvi ; idantifyan Atmart la pa janm chanje, menm lè sous la renimewote, konsa ou ka swiv yon antite atravè tan.","Gen de idantifyan k ap mache ansanm : p-code la se kòd ofisyèl OCHA/CNIGS la, se li moun imanitè yo sèvi ; idantifyan Atmart la pa janm chanje, menm lè sous la renimewote, konsa ou ka swiv yon antite atravè tan.","Two identifiers coexist: the p-code is the official OCHA/CNIGS code used by humanitarian actors; the Atmart identifier never changes, even if the source renumbers, which lets you track an entity over time.","Two identifiers coexist: the p-code is the official OCHA/CNIGS code used by humanitarian actors; the Atmart identifier never changes, even if the source renumbers, which lets you track an entity over time.","Coexisten dos identificadores: el p-code es el código oficial OCHA/CNIGS que usan los actores humanitarios; el identificador Atmart no cambia nunca, aunque la fuente renumere, lo que permite seguir una entidad a lo largo del tiempo.","Coexisten dos identificadores: el p-code es el código oficial OCHA/CNIGS que usan los actores humanitarios; el identificador Atmart no cambia nunca, aunque la fuente renumere, lo que permite seguir una entidad a lo largo del tiempo.",relecture kreyòl
Donnée non disponible,Donnée non disponible,,jour() L149,statuts,visible,vocabulaire,phrase,,,,oui,,,,Done a pa disponib,Done a pa disponib,Data not available,Data not available,Dato no disponible,Dato no disponible,relecture kreyòl
Découpage en vigueur depuis,Découpage en vigueur depuis,,blocTechnique() L630,fiche,visible,phrase,phrase,,,,oui,,,,Dekoupaj la an vigè depi,Dekoupaj la an vigè depi,Boundaries in force since,Boundaries in force since,División vigente desde,División vigente desde,relecture kreyòl
Définition.,Définition.,,blocIndicateurs() L546,fiche,visible+impression,libelle,phrase,,,,oui,,oui,,Definisyon.,Definisyon.,Definition.,Definition.,Definición.,Definición.,relecture kreyòl
Définitions et méthodes,Définitions et méthodes,,jour() L189,jour,visible,phrase,phrase,,,,oui,,,,Definisyon ak metòd,Definisyon ak metòd,Definitions and methods,Definitions and methods,Definiciones y métodos,Definiciones y métodos,relecture kreyòl
Département,Département,,jour() L143,niveaux,visible,vocabulaire,phrase,,,,oui,,,,Depatman,Depatman,Department,Department,Departamento,Departamento,relecture kreyòl
Elle compte {sec} sections communales et {loc} localités référencées.,Elle compte {sec} sections communales et {loc} localités référencées.,Elle compte {sec} section communale et {loc} localités référencées.,synthese() L369,fiche,visible,phrase,phrase,loc sec,oui,,oui,,,,Li gen {sec} seksyon kominal ak {loc} lokalite ki anrejistre.,Li gen {sec} seksyon kominal ak {loc} lokalite ki anrejistre.,It has {sec} communal sections and {loc} recorded localities.,It has {sec} communal section and {loc} recorded localities.,Cuenta con {sec} secciones comunales y {loc} localidades registradas.,Cuenta con {sec} sección comunal y {loc} localidades registradas.,relecture kreyòl
Elle compte {sec} sections communales.,Elle compte {sec} sections communales.,Elle compte {sec} section communale.,synthese() L372,fiche,visible,phrase,phrase,sec,oui,,oui,,,,Li gen {sec} seksyon kominal.,Li gen {sec} seksyon kominal.,It has {sec} communal sections.,It has {sec} communal section.,Cuenta con {sec} secciones comunales.,Cuenta con {sec} sección comunal.,relecture kreyòl
"Essayez un nom de commune, un p-code (HT0121) ou un identifiant Atmart.","Essayez un nom de commune, un p-code (HT0121) ou un identifiant Atmart.",,afficherResultats() L288,recherche,visible+aria,phrase,phrase,,,,oui,oui,,,"Eseye yon non komin, yon p-code (HT0121) oswa yon idantifyan Atmart.","Eseye yon non komin, yon p-code (HT0121) oswa yon idantifyan Atmart.","Try a commune name, a p-code (HT0121) or an Atmart identifier.","Try a commune name, a p-code (HT0121) or an Atmart identifier.","Pruebe con un nombre de comuna, un p-code (HT0121) o un identificador Atmart.","Pruebe con un nombre de comuna, un p-code (HT0121) o un identificador Atmart.",relecture kreyòl
Explorer ma commune,Explorer ma commune,,jour() L194,jour,visible,phrase,phrase,,,,oui,,,,Gade komin pa m nan,Gade komin pa m nan,Explore my commune,Explore my commune,Explorar mi comuna,Explorar mi comuna,relecture kreyòl
Exporter ce classement (CSV),Exporter ce classement (CSV),,classement() L1081,classement,visible+impression,phrase,phrase,,,,oui,,oui,,Ekspòte klasman sa a (CSV),Ekspòte klasman sa a (CSV),Export this ranking (CSV),Export this ranking (CSV),Exportar este ranking (CSV),Exportar este ranking (CSV),relecture kreyòl
Exporter cet agrégat (CSV),Exporter cet agrégat (CSV),,agregat() L802,agregat,visible+impression,phrase,phrase,,,,oui,,oui,,Ekspòte chif ansanm sa a (CSV),Ekspòte chif ansanm sa a (CSV),Export this aggregate (CSV),Export this aggregate (CSV),Exportar este agregado (CSV),Exportar este agregado (CSV),relecture kreyòl
Exporter la comparaison (CSV),Exporter la comparaison (CSV),,rendreComparaison() L981,comparaison,visible+aria+impression,phrase,phrase,,,,oui,oui,oui,,Ekspòte konparezon an (CSV),Ekspòte konparezon an (CSV),Export the comparison (CSV),Export the comparison (CSV),Exportar la comparación (CSV),Exportar la comparación (CSV),relecture kreyòl
Fiche de {nom} affichée.,Fiche de {nom} affichée.,,fiche() L823,fiche,aria,phrase,phrase,nom,,,,oui,,,Men fich {nom}.,Men fich {nom}.,Profile for {nom} displayed.,Profile for {nom} displayed.,Ficha de {nom} mostrada.,Ficha de {nom} mostrada.,aucune
Fiche {version},Fiche {version},,blocResume() L402,fiche,visible+impression,libelle,phrase,version,,,oui,,oui,,Fich {version},Fich {version},Profile {version},Profile {version},Ficha {version},Ficha {version},relecture kreyòl
Financer la source manquante,Financer la source manquante,,blocLacunes() L590,fiche,visible+impression,phrase,phrase,,,,oui,,oui,,Finanse sous ki manke a,Finanse sous ki manke a,Fund the missing source,Fund the missing source,Financiar la fuente que falta,Financiar la fuente que falta,relecture kreyòl
Géo,Géo,,blocOrganisations() L662,admin,visible,libelle,phrase,,,,oui,,,,Jeyo,Jeyo,Geo,Geo,Geo,Geo,relecture kreyòl
Géométrie,Géométrie,,blocTechnique() L636,fiche,visible,libelle,phrase,,,,oui,,,,Jeyometri,Jeyometri,Geometry,Geometry,Geometría,Geometría,relecture kreyòl
Identifiant,Identifiant,,blocOrganisations() L662,admin,visible,libelle,phrase,,,,oui,,,,Idantifyan,Idantifyan,Identifier,Identifier,Identificador,Identificador,relecture kreyòl
Identifiant Atmart,Identifiant Atmart,,blocTechnique() L628,fiche,visible,libelle,phrase,,,,oui,,,,Idantifyan Atmart,Idantifyan Atmart,Atmart identifier,Atmart identifier,Identificador Atmart,Identificador Atmart,relecture kreyòl
Imprimer / PDF,Imprimer / PDF,,blocResume() L397,fiche,visible+impression,phrase,phrase,,,,oui,,oui,,Enprime / PDF,Enprime / PDF,Print / PDF,Print / PDF,Imprimir / PDF,Imprimir / PDF,relecture kreyòl
Indicateur,Indicateur,,blocLacunes() L574,fiche,visible+impression,libelle,phrase,,,,oui,,oui,,Endikatè,Endikatè,Indicator,Indicator,Indicador,Indicador,relecture kreyòl
Indicateurs documentés,Indicateurs documentés,,blocIndicateurs() L528,fiche,visible+impression,libelle,phrase,,,,oui,,oui,,Endikatè ki dokimante,Endikatè ki dokimante,Documented indicators,Documented indicators,Indicadores documentados,Indicadores documentados,relecture kreyòl
Informations techniques,Informations techniques,,blocTechnique() L639,fiche,visible,libelle,phrase,,,,oui,,,,Enfòmasyon teknik,Enfòmasyon teknik,Technical information,Technical information,Información técnica,Información técnica,relecture kreyòl
La population communale n'est pas encore intégrée : aucune des 192 entités n'en porte. Cet indicateur attend les estimations IHSI.,La population communale n'est pas encore intégrée : aucune des 192 entités n'en porte. Cet indicateur attend les estimations IHSI.,,jour() L210,lectures,visible,vocabulaire,phrase,,,,oui,,,,Nou poko antre popilasyon chak komin : okenn nan 192 antite yo pa gen chif sa a. N ap tann estimasyon IHSI yo.,Nou poko antre popilasyon chak komin : okenn nan 192 antite yo pa gen chif sa a. N ap tann estimasyon IHSI yo.,Commune-level population is not yet integrated: none of the 192 entities carries it. This reading is waiting on the IHSI estimates.,Commune-level population is not yet integrated: none of the 192 entities carries it. This reading is waiting on the IHSI estimates.,La población por comuna aún no está integrada: ninguna de las 192 entidades la tiene. Esta lectura espera las estimaciones del IHSI.,La población por comuna aún no está integrada: ninguna de las 192 entidades la tiene. Esta lectura espera las estimaciones del IHSI.,relecture kreyòl
"Le référentiel administratif en vigueur — CNIGS, publié par OCHA — compte {decompte}. D'autres référentiels haïtiens, dont les estimations démographiques récentes de l'IHSI, en dénombrent davantage.","Le référentiel administratif en vigueur — CNIGS, publié par OCHA — compte {decompte}. D'autres référentiels haïtiens, dont les estimations démographiques récentes de l'IHSI, en dénombrent davantage.",,pret() L1147,chrome,visible,phrase,phrase,decompte,,,oui,,,,"Baz referans administratif ki an vigè a — CNIGS, OCHA pibliye l — konte {decompte}. Gen lòt baz referans ayisyen, tankou dènye estimasyon popilasyon IHSI yo, ki konte plis.","Baz referans administratif ki an vigè a — CNIGS, OCHA pibliye l — konte {decompte}. Gen lòt baz referans ayisyen, tankou dènye estimasyon popilasyon IHSI yo, ki konte plis.","The administrative referential in force — CNIGS, published by OCHA — counts {decompte}. Other Haitian referentials, including the recent IHSI population estimates, count more.","The administrative referential in force — CNIGS, published by OCHA — counts {decompte}. Other Haitian referentials, including the recent IHSI population estimates, count more.","El referencial administrativo vigente — CNIGS, publicado por OCHA — cuenta {decompte}. Otros referenciales haitianos, incluidas las estimaciones demográficas recientes del IHSI, cuentan más.","El referencial administrativo vigente — CNIGS, publicado por OCHA — cuenta {decompte}. Otros referenciales haitianos, incluidas las estimaciones demográficas recientes del IHSI, cuentan más.",relecture kreyòl
"Le {lien} permet de situer n'importe quel territoire sur un indicateur, et d'exporter le tableau.","Le {lien} permet de situer n'importe quel territoire sur un indicateur, et d'exporter le tableau.",,blocComparer() L619,fiche,visible,phrase,phrase,lien,,,oui,,,,"{lien} pèmèt ou wè kote nenpòt teritwa chita sou yon endikatè, epi ekspòte tablo a.","{lien} pèmèt ou wè kote nenpòt teritwa chita sou yon endikatè, epi ekspòte tablo a.","The {lien} lets you place any territory on an indicator, and export the table.","The {lien} lets you place any territory on an indicator, and export the table.",El {lien} permite situar cualquier territorio en un indicador y exportar la tabla.,El {lien} permite situar cualquier territorio en un indicador y exportar la tabla.,relecture kreyòl
Lecture :,Lecture :,,classement() L1034,classement,visible+impression,libelle,phrase,,,,oui,,oui,,Ki jan pou li l :,Ki jan pou li l :,Reading:,Reading:,Lectura:,Lectura:,relecture kreyòl
Lecture.,Lecture.,,blocIndicateurs() L557,fiche,visible+impression,libelle,phrase,,,,oui,,oui,,Ki jan pou li l.,Ki jan pou li l.,How to read it.,How to read it.,Cómo leerlo.,Cómo leerlo.,relecture kreyòl
Les autres communes de l'arrondissement {arr_de} :,Les autres communes de l'arrondissement {arr_de} :,,blocComparer() L612,fiche,visible,phrase,phrase,arr_de,,oui,oui,,,,Lòt komin nan awondisman {arr} yo :,Lòt komin nan awondisman {arr} yo :,The other communes in {arr} arrondissement:,The other communes in {arr} arrondissement:,Las demás comunas del distrito de {arr}:,Las demás comunas del distrito de {arr}:,relecture kreyòl
Les données n'ont pas pu être chargées ({err}). Les fichiers restent téléchargeables depuis le {lien}.,Les données n'ont pas pu être chargées ({err}). Les fichiers restent téléchargeables depuis le {lien}.,,charger() L1388,charger,visible,phrase,phrase,err lien,,,oui,,,,Done yo pa t ka chaje ({err}). Ou toujou ka telechaje fichye yo nan {lien}.,Done yo pa t ka chaje ({err}). Ou toujou ka telechaje fichye yo nan {lien}.,The data could not be loaded ({err}). The files remain downloadable from the {lien}.,The data could not be loaded ({err}). The files remain downloadable from the {lien}.,No se pudieron cargar los datos ({err}). Los archivos siguen disponibles para descarga en el {lien}.,No se pudieron cargar los datos ({err}). Los archivos siguen disponibles para descarga en el {lien}.,relecture kreyòl
